Packetnummer;Ware;fuellstand;veschickt um;angekommen um
182;milch;10;2017-06-11 19:57:45.312;2017-06-11 19:57:45.315
183;milch;98;2017-06-11 19:57:50.337;2017-06-11 19:57:50.34
184;milch;96;2017-06-11 19:57:55.342;2017-06-11 19:57:55.345
185;milch;94;2017-06-11 19:58:00.346;2017-06-11 19:58:00.349
186;milch;92;2017-06-11 19:58:05.35;2017-06-11 19:58:05.352
187;milch;90;2017-06-11 19:58:10.356;2017-06-11 19:58:10.358
188;milch;88;2017-06-11 19:58:15.36;2017-06-11 19:58:15.363
189;milch;86;2017-06-11 19:58:20.364;2017-06-11 19:58:20.367
190;milch;84;2017-06-11 19:58:25.37;2017-06-11 19:58:25.372
191;milch;82;2017-06-11 19:58:30.374;2017-06-11 19:58:30.377
192;milch;80;2017-06-11 19:58:35.382;2017-06-11 19:58:35.385
193;milch;78;2017-06-11 19:58:40.388;2017-06-11 19:58:40.391
194;milch;76;2017-06-11 19:58:45.393;2017-06-11 19:58:45.396
195;milch;74;2017-06-11 19:58:50.396;2017-06-11 19:58:50.399
196;milch;72;2017-06-11 19:58:55.4;2017-06-11 19:58:55.403
197;milch;70;2017-06-11 19:59:00.404;2017-06-11 19:59:00.407
198;milch;68;2017-06-11 19:59:05.408;2017-06-11 19:59:05.411
199;milch;66;2017-06-11 19:59:10.414;2017-06-11 19:59:10.416
200;milch;64;2017-06-11 19:59:15.418;2017-06-11 19:59:15.421
201;milch;62;2017-06-11 19:59:20.423;2017-06-11 19:59:20.426
202;milch;60;2017-06-11 19:59:25.427;2017-06-11 19:59:25.429
203;milch;58;2017-06-11 19:59:30.43;2017-06-11 19:59:30.433
204;milch;56;2017-06-11 19:59:35.434;2017-06-11 19:59:35.437
205;milch;54;2017-06-11 19:59:40.44;2017-06-11 19:59:40.441
206;milch;52;2017-06-11 19:59:45.442;2017-06-11 19:59:45.443
207;milch;50;2017-06-11 19:59:50.444;2017-06-11 19:59:50.447
208;milch;48;2017-06-11 19:59:55.447;2017-06-11 19:59:55.45
209;milch;46;2017-06-11 20:00:00.451;2017-06-11 20:00:00.454
210;milch;44;2017-06-11 20:00:05.454;2017-06-11 20:00:05.457
211;milch;42;2017-06-11 20:00:10.462;2017-06-11 20:00:10.464
212;milch;40;2017-06-11 20:00:15.467;2017-06-11 20:00:15.468
213;milch;38;2017-06-11 20:00:20.471;2017-06-11 20:00:20.474
214;milch;36;2017-06-11 20:00:25.475;2017-06-11 20:00:25.478
215;milch;34;2017-06-11 20:00:30.48;2017-06-11 20:00:30.482
216;milch;32;2017-06-11 20:00:35.484;2017-06-11 20:00:35.487
217;milch;30;2017-06-11 20:00:40.491;2017-06-11 20:00:40.493
218;milch;28;2017-06-11 20:00:45.494;2017-06-11 20:00:45.497
219;milch;26;2017-06-11 20:00:50.497;2017-06-11 20:00:50.501
220;milch;24;2017-06-11 20:00:55.501;2017-06-11 20:00:55.504
221;milch;22;2017-06-11 20:01:00.506;2017-06-11 20:01:00.508
222;milch;20;2017-06-11 20:01:05.51;2017-06-11 20:01:05.512
223;milch;18;2017-06-11 20:01:10.515;2017-06-11 20:01:10.518
224;milch;16;2017-06-11 20:01:15.518;2017-06-11 20:01:15.52
225;milch;14;2017-06-11 20:01:20.522;2017-06-11 20:01:20.525
226;milch;12;2017-06-11 20:01:25.525;2017-06-11 20:01:25.528
227;milch;10;2017-06-11 20:01:30.528;2017-06-11 20:01:30.531
228;milch;98;2017-06-11 20:01:35.553;2017-06-11 20:01:35.556
229;milch;96;2017-06-11 20:01:40.559;2017-06-11 20:01:40.561
230;milch;94;2017-06-11 20:01:45.564;2017-06-11 20:01:45.566
231;milch;92;2017-06-11 20:01:50.568;2017-06-11 20:01:50.57
232;milch;90;2017-06-11 20:01:55.586;2017-06-11 20:01:55.587
233;milch;88;2017-06-11 20:02:00.588;2017-06-11 20:02:00.589
234;milch;86;2017-06-11 20:02:05.59;2017-06-11 20:02:05.592
235;milch;84;2017-06-11 20:02:10.608;2017-06-11 20:02:10.61
236;milch;82;2017-06-11 20:02:15.613;2017-06-11 20:02:15.616
237;milch;80;2017-06-11 20:02:20.619;2017-06-11 20:02:20.621
238;milch;78;2017-06-11 20:02:25.622;2017-06-11 20:02:25.625
239;milch;76;2017-06-11 20:02:30.626;2017-06-11 20:02:30.629
240;milch;74;2017-06-11 20:02:35.63;2017-06-11 20:02:35.633
241;milch;72;2017-06-11 20:02:40.637;2017-06-11 20:02:40.639
242;milch;70;2017-06-11 20:02:45.64;2017-06-11 20:02:45.642
243;milch;68;2017-06-11 20:02:50.642;2017-06-11 20:02:50.645
244;milch;66;2017-06-11 20:02:55.646;2017-06-11 20:02:55.649
245;milch;64;2017-06-11 20:03:00.65;2017-06-11 20:03:00.653
246;milch;62;2017-06-11 20:03:05.654;2017-06-11 20:03:05.657
247;milch;60;2017-06-11 20:03:10.659;2017-06-11 20:03:10.672
248;milch;58;2017-06-11 20:03:15.674;2017-06-11 20:03:15.677
249;milch;56;2017-06-11 20:03:20.677;2017-06-11 20:03:20.68
250;milch;54;2017-06-11 20:03:25.681;2017-06-11 20:03:25.684
251;milch;52;2017-06-11 20:03:30.684;2017-06-11 20:03:30.687
252;milch;50;2017-06-11 20:03:35.689;2017-06-11 20:03:35.691
253;milch;48;2017-06-11 20:03:40.694;2017-06-11 20:03:40.697
254;milch;46;2017-06-11 20:03:45.698;2017-06-11 20:03:45.702
255;milch;44;2017-06-11 20:03:50.705;2017-06-11 20:03:50.708
256;milch;42;2017-06-11 20:03:55.713;2017-06-11 20:03:55.716
257;milch;40;2017-06-11 20:04:00.72;2017-06-11 20:04:00.722
258;milch;38;2017-06-11 20:04:05.723;2017-06-11 20:04:05.726
259;milch;36;2017-06-11 20:04:10.73;2017-06-11 20:04:10.732
260;milch;34;2017-06-11 20:04:15.733;2017-06-11 20:04:15.736
261;milch;32;2017-06-11 20:04:20.736;2017-06-11 20:04:20.739
262;milch;30;2017-06-11 20:04:25.739;2017-06-11 20:04:25.742
263;milch;28;2017-06-11 20:04:30.743;2017-06-11 20:04:30.746
264;milch;26;2017-06-11 20:04:35.747;2017-06-11 20:04:35.749
265;milch;24;2017-06-11 20:04:40.752;2017-06-11 20:04:40.755
266;milch;22;2017-06-11 20:04:45.756;2017-06-11 20:04:45.759
267;milch;20;2017-06-11 20:04:50.759;2017-06-11 20:04:50.762
268;milch;18;2017-06-11 20:04:55.762;2017-06-11 20:04:55.765
269;milch;16;2017-06-11 20:05:00.766;2017-06-11 20:05:00.769
270;milch;14;2017-06-11 20:05:05.769;2017-06-11 20:05:05.771
271;milch;12;2017-06-11 20:05:10.774;2017-06-11 20:05:10.776
272;milch;10;2017-06-11 20:05:15.778;2017-06-11 20:05:15.78
273;milch;98;2017-06-11 20:05:20.802;2017-06-11 20:05:20.803
274;milch;96;2017-06-11 20:05:25.803;2017-06-11 20:05:25.806
275;milch;94;2017-06-11 20:05:30.808;2017-06-11 20:05:30.81
276;milch;92;2017-06-11 20:05:35.811;2017-06-11 20:05:35.814
277;milch;90;2017-06-11 20:05:40.819;2017-06-11 20:05:40.821
278;milch;88;2017-06-11 20:05:45.824;2017-06-11 20:05:45.826
279;milch;86;2017-06-11 20:05:50.827;2017-06-11 20:05:50.83
280;milch;84;2017-06-11 20:05:55.831;2017-06-11 20:05:55.833
281;milch;82;2017-06-11 20:06:00.834;2017-06-11 20:06:00.837
282;milch;80;2017-06-11 20:06:05.84;2017-06-11 20:06:05.842
283;milch;78;2017-06-11 20:06:10.845;2017-06-11 20:06:10.848
284;milch;76;2017-06-11 20:06:15.848;2017-06-11 20:06:15.851
285;milch;74;2017-06-11 20:06:20.852;2017-06-11 20:06:20.854
286;milch;72;2017-06-11 20:06:25.856;2017-06-11 20:06:25.857
287;milch;70;2017-06-11 20:06:30.86;2017-06-11 20:06:30.862
288;milch;68;2017-06-11 20:06:35.864;2017-06-11 20:06:35.866
289;milch;66;2017-06-11 20:06:40.87;2017-06-11 20:06:40.872
290;milch;64;2017-06-11 20:06:45.873;2017-06-11 20:06:45.876
291;milch;62;2017-06-11 20:06:50.877;2017-06-11 20:06:50.879
292;milch;60;2017-06-11 20:06:55.88;2017-06-11 20:06:55.883
293;milch;58;2017-06-11 20:07:00.886;2017-06-11 20:07:00.889
294;milch;56;2017-06-11 20:07:05.89;2017-06-11 20:07:05.893
295;milch;54;2017-06-11 20:07:10.896;2017-06-11 20:07:10.898
296;milch;52;2017-06-11 20:07:15.9;2017-06-11 20:07:15.903
297;milch;50;2017-06-11 20:07:20.908;2017-06-11 20:07:20.91
298;milch;48;2017-06-11 20:07:25.912;2017-06-11 20:07:25.915
299;milch;46;2017-06-11 20:07:30.916;2017-06-11 20:07:30.919
300;milch;44;2017-06-11 20:07:35.92;2017-06-11 20:07:35.923
301;milch;42;2017-06-11 20:07:40.925;2017-06-11 20:07:40.928
302;milch;40;2017-06-11 20:07:45.928;2017-06-11 20:07:45.931
303;milch;38;2017-06-11 20:07:50.932;2017-06-11 20:07:50.935
304;milch;36;2017-06-11 20:07:55.936;2017-06-11 20:07:55.938
305;milch;34;2017-06-11 20:08:00.94;2017-06-11 20:08:00.943
306;milch;32;2017-06-11 20:08:05.944;2017-06-11 20:08:05.947
307;milch;30;2017-06-11 20:08:10.949;2017-06-11 20:08:10.952
308;milch;28;2017-06-11 20:08:15.953;2017-06-11 20:08:15.955
309;milch;26;2017-06-11 20:08:20.956;2017-06-11 20:08:20.959
310;milch;24;2017-06-11 20:08:25.96;2017-06-11 20:08:25.963
311;milch;22;2017-06-11 20:08:30.964;2017-06-11 20:08:30.967
312;milch;20;2017-06-11 20:08:35.968;2017-06-11 20:08:35.97
313;milch;18;2017-06-11 20:08:40.972;2017-06-11 20:08:40.973
314;milch;16;2017-06-11 20:08:45.973;2017-06-11 20:08:45.976
315;milch;14;2017-06-11 20:08:50.978;2017-06-11 20:08:50.981
316;milch;12;2017-06-11 20:08:55.981;2017-06-11 20:08:55.984
317;milch;10;2017-06-11 20:09:00.985;2017-06-11 20:09:00.987
318;milch;98;2017-06-11 20:09:06.01;2017-06-11 20:09:06.013
319;milch;96;2017-06-11 20:09:11.015;2017-06-11 20:09:11.017
320;milch;94;2017-06-11 20:09:16.019;2017-06-11 20:09:16.022
321;milch;92;2017-06-11 20:09:21.023;2017-06-11 20:09:21.026
322;milch;90;2017-06-11 20:09:26.027;2017-06-11 20:09:26.03
323;milch;88;2017-06-11 20:09:31.031;2017-06-11 20:09:31.033
324;milch;86;2017-06-11 20:09:36.035;2017-06-11 20:09:36.037
325;milch;84;2017-06-11 20:09:41.041;2017-06-11 20:09:41.043
326;milch;82;2017-06-11 20:09:46.045;2017-06-11 20:09:46.047
327;milch;80;2017-06-11 20:09:51.048;2017-06-11 20:09:51.05
328;milch;78;2017-06-11 20:09:56.051;2017-06-11 20:09:56.054
329;milch;76;2017-06-11 20:10:01.055;2017-06-11 20:10:01.058
330;milch;74;2017-06-11 20:10:06.059;2017-06-11 20:10:06.061
331;milch;72;2017-06-11 20:10:11.063;2017-06-11 20:10:11.065
332;milch;70;2017-06-11 20:10:16.068;2017-06-11 20:10:16.07
333;milch;68;2017-06-11 20:10:21.071;2017-06-11 20:10:21.073
334;milch;66;2017-06-11 20:10:26.075;2017-06-11 20:10:26.078
335;milch;64;2017-06-11 20:10:31.08;2017-06-11 20:10:31.083
336;milch;62;2017-06-11 20:10:36.085;2017-06-11 20:10:36.087
337;milch;60;2017-06-11 20:10:41.09;2017-06-11 20:10:41.092
338;milch;58;2017-06-11 20:10:46.093;2017-06-11 20:10:46.096
339;milch;56;2017-06-11 20:10:51.096;2017-06-11 20:10:51.099
340;milch;54;2017-06-11 20:10:56.1;2017-06-11 20:10:56.103
341;milch;52;2017-06-11 20:11:01.105;2017-06-11 20:11:01.106
342;milch;50;2017-06-11 20:11:06.106;2017-06-11 20:11:06.107
343;milch;48;2017-06-11 20:11:11.109;2017-06-11 20:11:11.111
344;milch;46;2017-06-11 20:11:16.112;2017-06-11 20:11:16.115
345;milch;44;2017-06-11 20:11:21.116;2017-06-11 20:11:21.116
346;milch;42;2017-06-11 20:11:26.118;2017-06-11 20:11:26.12
347;milch;40;2017-06-11 20:11:31.121;2017-06-11 20:11:31.122
348;milch;38;2017-06-11 20:11:36.123;2017-06-11 20:11:36.126
349;milch;36;2017-06-11 20:11:41.128;2017-06-11 20:11:41.131
350;milch;34;2017-06-11 20:11:46.131;2017-06-11 20:11:46.133
351;milch;32;2017-06-11 20:11:51.135;2017-06-11 20:11:51.138
352;milch;30;2017-06-11 20:11:56.14;2017-06-11 20:11:56.142
353;milch;28;2017-06-11 20:12:01.143;2017-06-11 20:12:01.146
354;milch;26;2017-06-11 20:12:06.147;2017-06-11 20:12:06.148
355;milch;24;2017-06-11 20:12:11.149;2017-06-11 20:12:11.15
356;milch;22;2017-06-11 20:12:16.151;2017-06-11 20:12:16.154
357;milch;20;2017-06-11 20:12:21.155;2017-06-11 20:12:21.157
358;milch;18;2017-06-11 20:12:26.158;2017-06-11 20:12:26.161
359;milch;16;2017-06-11 20:12:31.161;2017-06-11 20:12:31.164
360;milch;14;2017-06-11 20:12:36.165;2017-06-11 20:12:36.168
361;milch;12;2017-06-11 20:12:41.169;2017-06-11 20:12:41.171
362;milch;10;2017-06-11 20:12:46.172;2017-06-11 20:12:46.174
363;milch;98;2017-06-11 20:12:51.194;2017-06-11 20:12:51.196
364;milch;96;2017-06-11 20:12:56.199;2017-06-11 20:12:56.201
365;milch;94;2017-06-11 20:13:01.202;2017-06-11 20:13:01.205
366;milch;92;2017-06-11 20:13:06.206;2017-06-11 20:13:06.208
367;milch;90;2017-06-11 20:13:11.211;2017-06-11 20:13:11.213
368;milch;88;2017-06-11 20:13:16.213;2017-06-11 20:13:16.216
369;milch;86;2017-06-11 20:13:21.216;2017-06-11 20:13:21.219
370;milch;84;2017-06-11 20:13:26.22;2017-06-11 20:13:26.223
371;milch;82;2017-06-11 20:13:31.225;2017-06-11 20:13:31.228
372;milch;80;2017-06-11 20:13:36.229;2017-06-11 20:13:36.232
373;milch;78;2017-06-11 20:13:41.235;2017-06-11 20:13:41.237
374;milch;76;2017-06-11 20:13:46.238;2017-06-11 20:13:46.24
375;milch;74;2017-06-11 20:13:51.243;2017-06-11 20:13:51.245
376;milch;72;2017-06-11 20:13:56.246;2017-06-11 20:13:56.249
377;milch;70;2017-06-11 20:14:01.251;2017-06-11 20:14:01.254
378;milch;68;2017-06-11 20:14:06.254;2017-06-11 20:14:06.257
379;milch;66;2017-06-11 20:14:11.261;2017-06-11 20:14:11.263
380;milch;64;2017-06-11 20:14:16.263;2017-06-11 20:14:16.265
381;milch;62;2017-06-11 20:14:21.266;2017-06-11 20:14:21.269
382;milch;60;2017-06-11 20:14:26.269;2017-06-11 20:14:26.272
383;milch;58;2017-06-11 20:14:31.274;2017-06-11 20:14:31.276
384;milch;56;2017-06-11 20:14:36.281;2017-06-11 20:14:36.284
385;milch;54;2017-06-11 20:14:41.295;2017-06-11 20:14:41.298
386;milch;52;2017-06-11 20:14:46.299;2017-06-11 20:14:46.301
387;milch;50;2017-06-11 20:14:51.304;2017-06-11 20:14:51.306
388;milch;48;2017-06-11 20:14:56.307;2017-06-11 20:14:56.31
389;milch;46;2017-06-11 20:15:01.31;2017-06-11 20:15:01.313
390;milch;44;2017-06-11 20:15:06.313;2017-06-11 20:15:06.316
391;milch;42;2017-06-11 20:15:11.319;2017-06-11 20:15:11.321
392;milch;40;2017-06-11 20:15:16.322;2017-06-11 20:15:16.325
393;milch;38;2017-06-11 20:15:21.327;2017-06-11 20:15:21.329
394;milch;36;2017-06-11 20:15:26.332;2017-06-11 20:15:26.334
395;milch;34;2017-06-11 20:15:31.335;2017-06-11 20:15:31.338
396;milch;32;2017-06-11 20:15:36.338;2017-06-11 20:15:36.34
397;milch;30;2017-06-11 20:15:41.344;2017-06-11 20:15:41.346
398;milch;28;2017-06-11 20:15:46.348;2017-06-11 20:15:46.35
399;milch;26;2017-06-11 20:15:51.351;2017-06-11 20:15:51.354
400;milch;24;2017-06-11 20:15:56.355;2017-06-11 20:15:56.358
401;milch;22;2017-06-11 20:16:01.358;2017-06-11 20:16:01.361
402;milch;20;2017-06-11 20:16:06.361;2017-06-11 20:16:06.364
403;milch;18;2017-06-11 20:16:11.366;2017-06-11 20:16:11.369
404;milch;16;2017-06-11 20:16:16.37;2017-06-11 20:16:16.373
405;milch;14;2017-06-11 20:16:21.374;2017-06-11 20:16:21.377
406;milch;12;2017-06-11 20:16:26.378;2017-06-11 20:16:26.381
407;milch;10;2017-06-11 20:16:31.382;2017-06-11 20:16:31.384
408;milch;98;2017-06-11 20:16:36.398;2017-06-11 20:16:36.401
409;milch;96;2017-06-11 20:16:41.404;2017-06-11 20:16:41.407
410;milch;94;2017-06-11 20:16:46.408;2017-06-11 20:16:46.411
411;milch;92;2017-06-11 20:16:51.411;2017-06-11 20:16:51.414
412;milch;90;2017-06-11 20:16:56.415;2017-06-11 20:16:56.418
413;milch;88;2017-06-11 20:17:01.418;2017-06-11 20:17:01.421
414;milch;86;2017-06-11 20:17:06.422;2017-06-11 20:17:06.425
415;milch;84;2017-06-11 20:17:11.428;2017-06-11 20:17:11.43
416;milch;82;2017-06-11 20:17:16.431;2017-06-11 20:17:16.434
417;milch;80;2017-06-11 20:17:21.434;2017-06-11 20:17:21.437
418;milch;78;2017-06-11 20:17:26.438;2017-06-11 20:17:26.441
419;milch;76;2017-06-11 20:17:31.441;2017-06-11 20:17:31.444
420;milch;74;2017-06-11 20:17:36.445;2017-06-11 20:17:36.448
421;milch;72;2017-06-11 20:17:41.45;2017-06-11 20:17:41.453
422;milch;70;2017-06-11 20:17:46.455;2017-06-11 20:17:46.458
423;milch;68;2017-06-11 20:17:51.459;2017-06-11 20:17:51.462
424;milch;66;2017-06-11 20:17:56.462;2017-06-11 20:17:56.464
425;milch;64;2017-06-11 20:18:01.466;2017-06-11 20:18:01.469
426;milch;62;2017-06-11 20:18:06.469;2017-06-11 20:18:06.471
427;milch;60;2017-06-11 20:18:11.475;2017-06-11 20:18:11.477
428;milch;58;2017-06-11 20:18:16.478;2017-06-11 20:18:16.481
429;milch;56;2017-06-11 20:18:21.481;2017-06-11 20:18:21.484
430;milch;54;2017-06-11 20:18:26.485;2017-06-11 20:18:26.488
431;milch;52;2017-06-11 20:18:31.488;2017-06-11 20:18:31.491
432;milch;50;2017-06-11 20:18:36.491;2017-06-11 20:18:36.494
433;milch;48;2017-06-11 20:18:41.497;2017-06-11 20:18:41.499
434;milch;46;2017-06-11 20:18:46.499;2017-06-11 20:18:46.503
435;milch;44;2017-06-11 20:18:51.504;2017-06-11 20:18:51.506
436;milch;42;2017-06-11 20:18:56.507;2017-06-11 20:18:56.51
437;milch;40;2017-06-11 20:19:01.511;2017-06-11 20:19:01.514
438;milch;38;2017-06-11 20:19:06.516;2017-06-11 20:19:06.518
439;milch;36;2017-06-11 20:19:11.523;2017-06-11 20:19:11.526
440;milch;34;2017-06-11 20:19:16.528;2017-06-11 20:19:16.531
441;milch;32;2017-06-11 20:19:21.531;2017-06-11 20:19:21.533
442;milch;30;2017-06-11 20:19:26.535;2017-06-11 20:19:26.538
443;milch;28;2017-06-11 20:19:31.539;2017-06-11 20:19:31.541
444;milch;26;2017-06-11 20:19:36.542;2017-06-11 20:19:36.545
445;milch;24;2017-06-11 20:19:41.547;2017-06-11 20:19:41.549
446;milch;22;2017-06-11 20:19:46.551;2017-06-11 20:19:46.554
447;milch;20;2017-06-11 20:19:51.555;2017-06-11 20:19:51.557
448;milch;18;2017-06-11 20:19:56.559;2017-06-11 20:19:56.561
449;milch;16;2017-06-11 20:20:01.562;2017-06-11 20:20:01.565
450;milch;14;2017-06-11 20:20:06.565;2017-06-11 20:20:06.568
451;milch;12;2017-06-11 20:20:11.57;2017-06-11 20:20:11.572
452;milch;10;2017-06-11 20:20:16.574;2017-06-11 20:20:16.577
453;milch;98;2017-06-11 20:20:21.6;2017-06-11 20:20:21.602
454;milch;96;2017-06-11 20:20:26.605;2017-06-11 20:20:26.607
455;milch;94;2017-06-11 20:20:31.61;2017-06-11 20:20:31.612
456;milch;92;2017-06-11 20:20:36.613;2017-06-11 20:20:36.616
457;milch;90;2017-06-11 20:20:41.62;2017-06-11 20:20:41.624
458;milch;88;2017-06-11 20:20:46.625;2017-06-11 20:20:46.628
459;milch;86;2017-06-11 20:20:51.629;2017-06-11 20:20:51.632
460;milch;84;2017-06-11 20:20:56.633;2017-06-11 20:20:56.636
461;milch;82;2017-06-11 20:21:01.637;2017-06-11 20:21:01.64
462;milch;80;2017-06-11 20:21:06.641;2017-06-11 20:21:06.643
463;milch;78;2017-06-11 20:21:11.647;2017-06-11 20:21:11.649
464;milch;76;2017-06-11 20:21:16.651;2017-06-11 20:21:16.654
465;milch;74;2017-06-11 20:21:21.655;2017-06-11 20:21:21.657
466;milch;72;2017-06-11 20:21:26.659;2017-06-11 20:21:26.662
467;milch;70;2017-06-11 20:21:31.663;2017-06-11 20:21:31.666
468;milch;68;2017-06-11 20:21:36.667;2017-06-11 20:21:36.669
469;milch;66;2017-06-11 20:21:41.671;2017-06-11 20:21:41.673
470;milch;64;2017-06-11 20:21:46.675;2017-06-11 20:21:46.678
471;milch;62;2017-06-11 20:21:51.679;2017-06-11 20:21:51.681
472;milch;60;2017-06-11 20:21:56.684;2017-06-11 20:21:56.687
473;milch;58;2017-06-11 20:22:01.689;2017-06-11 20:22:01.691
474;milch;56;2017-06-11 20:22:06.692;2017-06-11 20:22:06.694
475;milch;54;2017-06-11 20:22:11.697;2017-06-11 20:22:11.7
476;milch;52;2017-06-11 20:22:16.701;2017-06-11 20:22:16.703
477;milch;50;2017-06-11 20:22:21.704;2017-06-11 20:22:21.705
478;milch;48;2017-06-11 20:22:26.706;2017-06-11 20:22:26.707
479;milch;46;2017-06-11 20:22:31.707;2017-06-11 20:22:31.71
480;milch;44;2017-06-11 20:22:36.711;2017-06-11 20:22:36.713
481;milch;42;2017-06-11 20:22:41.716;2017-06-11 20:22:41.718
482;milch;40;2017-06-11 20:22:46.719;2017-06-11 20:22:46.722
483;milch;38;2017-06-11 20:22:51.722;2017-06-11 20:22:51.725
484;milch;36;2017-06-11 20:22:56.728;2017-06-11 20:22:56.73
485;milch;34;2017-06-11 20:23:01.732;2017-06-11 20:23:01.735
486;milch;32;2017-06-11 20:23:06.737;2017-06-11 20:23:06.739
487;milch;30;2017-06-11 20:23:11.741;2017-06-11 20:23:11.743
488;milch;28;2017-06-11 20:23:16.744;2017-06-11 20:23:16.747
489;milch;26;2017-06-11 20:23:21.749;2017-06-11 20:23:21.752
490;milch;24;2017-06-11 20:23:26.753;2017-06-11 20:23:26.755
491;milch;22;2017-06-11 20:23:31.755;2017-06-11 20:23:31.758
492;milch;20;2017-06-11 20:23:36.759;2017-06-11 20:23:36.762
493;milch;18;2017-06-11 20:23:41.764;2017-06-11 20:23:41.766
494;milch;16;2017-06-11 20:23:46.767;2017-06-11 20:23:46.769
495;milch;14;2017-06-11 20:23:51.771;2017-06-11 20:23:51.774
496;milch;12;2017-06-11 20:23:56.775;2017-06-11 20:23:56.778
497;milch;10;2017-06-11 20:24:01.779;2017-06-11 20:24:01.781
498;milch;98;2017-06-11 20:24:06.873;2017-06-11 20:24:06.876
499;milch;96;2017-06-11 20:24:11.88;2017-06-11 20:24:11.882
500;milch;94;2017-06-11 20:24:16.883;2017-06-11 20:24:16.886
501;milch;92;2017-06-11 20:24:21.886;2017-06-11 20:24:21.889
502;milch;90;2017-06-11 20:24:26.889;2017-06-11 20:24:26.891
503;milch;88;2017-06-11 20:24:31.893;2017-06-11 20:24:31.896
504;milch;86;2017-06-11 20:24:36.898;2017-06-11 20:24:36.9
505;milch;84;2017-06-11 20:24:41.902;2017-06-11 20:24:41.905
506;milch;82;2017-06-11 20:24:46.906;2017-06-11 20:24:46.908
507;milch;80;2017-06-11 20:24:51.908;2017-06-11 20:24:51.91
508;milch;78;2017-06-11 20:24:56.912;2017-06-11 20:24:56.915
509;milch;76;2017-06-11 20:25:01.915;2017-06-11 20:25:01.917
510;milch;74;2017-06-11 20:25:06.919;2017-06-11 20:25:06.922
511;milch;72;2017-06-11 20:25:11.925;2017-06-11 20:25:11.927
512;milch;70;2017-06-11 20:25:16.943;2017-06-11 20:25:16.947
513;milch;68;2017-06-11 20:25:21.949;2017-06-11 20:25:21.952
514;milch;66;2017-06-11 20:25:26.954;2017-06-11 20:25:26.956
515;milch;64;2017-06-11 20:25:31.957;2017-06-11 20:25:31.96
516;milch;62;2017-06-11 20:25:36.961;2017-06-11 20:25:36.964
517;milch;60;2017-06-11 20:25:41.967;2017-06-11 20:25:41.969
518;milch;58;2017-06-11 20:25:46.97;2017-06-11 20:25:46.972
519;milch;56;2017-06-11 20:25:51.974;2017-06-11 20:25:51.977
520;milch;54;2017-06-11 20:25:56.978;2017-06-11 20:25:56.98
521;milch;52;2017-06-11 20:26:01.982;2017-06-11 20:26:01.984
522;milch;50;2017-06-11 20:26:06.985;2017-06-11 20:26:06.987
523;milch;48;2017-06-11 20:26:11.99;2017-06-11 20:26:11.992
524;milch;46;2017-06-11 20:26:16.992;2017-06-11 20:26:16.994
525;milch;44;2017-06-11 20:26:21.996;2017-06-11 20:26:21.999
526;milch;42;2017-06-11 20:26:26.999;2017-06-11 20:26:27.002
527;milch;40;2017-06-11 20:26:32.002;2017-06-11 20:26:32.004
528;milch;38;2017-06-11 20:26:37.006;2017-06-11 20:26:37.008
529;milch;36;2017-06-11 20:26:42.011;2017-06-11 20:26:42.013
530;milch;34;2017-06-11 20:26:47.014;2017-06-11 20:26:47.017
531;milch;32;2017-06-11 20:26:52.018;2017-06-11 20:26:52.021
532;milch;30;2017-06-11 20:26:57.022;2017-06-11 20:26:57.025
533;milch;28;2017-06-11 20:27:02.025;2017-06-11 20:27:02.028
534;milch;26;2017-06-11 20:27:07.029;2017-06-11 20:27:07.031
535;milch;24;2017-06-11 20:27:12.034;2017-06-11 20:27:12.036
536;milch;22;2017-06-11 20:27:17.037;2017-06-11 20:27:17.039
537;milch;20;2017-06-11 20:27:22.042;2017-06-11 20:27:22.044
538;milch;18;2017-06-11 20:27:27.044;2017-06-11 20:27:27.047
539;milch;16;2017-06-11 20:27:32.048;2017-06-11 20:27:32.051
540;milch;14;2017-06-11 20:27:37.051;2017-06-11 20:27:37.054
541;milch;12;2017-06-11 20:27:42.057;2017-06-11 20:27:42.059
542;milch;10;2017-06-11 20:27:47.06;2017-06-11 20:27:47.063
543;milch;98;2017-06-11 20:27:52.083;2017-06-11 20:27:52.085
544;milch;96;2017-06-11 20:27:57.086;2017-06-11 20:27:57.089
545;milch;94;2017-06-11 20:28:02.09;2017-06-11 20:28:02.092
546;milch;92;2017-06-11 20:28:07.093;2017-06-11 20:28:07.095
547;milch;90;2017-06-11 20:28:12.099;2017-06-11 20:28:12.102
548;milch;88;2017-06-11 20:28:17.102;2017-06-11 20:28:17.103
549;milch;86;2017-06-11 20:28:22.105;2017-06-11 20:28:22.107
550;milch;84;2017-06-11 20:28:27.107;2017-06-11 20:28:27.109
551;milch;82;2017-06-11 20:28:32.111;2017-06-11 20:28:32.114
552;milch;80;2017-06-11 20:28:37.114;2017-06-11 20:28:37.116
553;milch;78;2017-06-11 20:28:42.12;2017-06-11 20:28:42.122
554;milch;76;2017-06-11 20:28:47.123;2017-06-11 20:28:47.126
555;milch;74;2017-06-11 20:28:52.127;2017-06-11 20:28:52.129
556;milch;72;2017-06-11 20:28:57.129;2017-06-11 20:28:57.132
557;milch;70;2017-06-11 20:29:02.134;2017-06-11 20:29:02.137
558;milch;68;2017-06-11 20:29:07.139;2017-06-11 20:29:07.141
